groupid,groupsize,idingroup,strippedname,name,sku,platform,ASIN,matching_likelihood,matching_method,ParentProduct,SKU_Role,source_asin,source_title
128,1,0,Bose SoundTouch 20 Series III Wireless Music System,Bose SoundTouch 20 Series III Wireless Music System - Black,,Amazon,B0153X46IU,100.0,stripped_name,Wireless Music System,K,B0153X46IU,Bose SoundTouch 20 Series III Wireless Music System - Black
126,4,1,Bose Sound Touch Series II Wireless,Bose Sound Touch Series II Wireless Adapter,4T-3IUV-R6NI,Amazon,B011U9G5IK,100.0,stripped_name,Wireless Speaker,P,B011U9G5IK,Bose Sound Touch Series II Wireless Adapter
41,13,1,Xbox 360 Guitar Hero World Tour Alone Drums video game,Xbox 360 Guitar Hero World Tour - Stand Alone Drums [video game],8A-GLTH-AGP9,Amazon,B001G8YV6Y,100.0,stripped_name,Xbox 360,A,B001G8YV6Y,Xbox 360 Guitar Hero World Tour - Stand Alone Drums
41,13,3,Xbox 360 Guitar Hero World Tour Alone Drums video game,Xbox 360 Guitar Hero World Tour - Stand Alone Drums [video game],TS-J4ZN-4V9T,Amazon,B001G8YV6Y,100.0,stripped_name,Xbox 360,K,B001G8YV6Y,Xbox 360 Guitar Hero World Tour - Stand Alone Drums
41,13,12,Xbox 360 Guitar Hero World Tour Alone Guitar video game,Xbox 360 Guitar Hero World Tour - Stand Alone Guitar [video game],TR-9D7M-UJGZ,Amazon,B001Q9XT8E,0.75,threshold,Xbox 360,A,B001G8YV6Y,Xbox 360 Guitar Hero World Tour - Stand Alone Drums
44,14,10,Xbox 360 Guitar Hero World Tour Alone Guitar video game,Xbox 360 Guitar Hero World Tour - Stand Alone Guitar [video game],TR-9D7M-UJGZ,Amazon,B001Q9XT8E,0.79,threshold,Xbox 360,A,B002JTX9JE,Guitar Hero World Tour - Stand Alone Guitar
148,2,0,Guitar Hero Live Xbox 360 Game Gaming Controller Guitar video game,"Guitar Hero Live Xbox 360 Game, Gaming Controller Guitar [video game]",U6-LRTH-ID45,Amazon,B073PBXGNF,100.0,stripped_name,Xbox 360,A,B073PBXGNF,"Guitar Hero Live Xbox 360 Game, Gaming Controller Guitar"
226,1,0,Bose Wave Music System Iii 343178 integrated stereo system,Bose Wave Music System Iii 343178 integrated stereo system,,Amazon,B0CZTX2KLZ,100.0,stripped_name,"['343178', 'System']",P,B0CZTX2KLZ,Bose Wave Music System Iii 343178 integrated stereo system
27,5,0,Bose 40390 SL2 wireless surround link,Bose (40390) SL2 wireless surround link,B9-31CD-SB0W,Amazon,B000I5PGLU,100.0,stripped_name,"['40390', 'SL2']",P,B000I5PGLU,Bose (40390) SL2 wireless surround link
188,2,0,USAV 16AWG 20FT Speaker Wire RCA Plug to Bare Wire for AV Receiver Speakers Stereo Wire Cord to RCA,"USAV 16AWG 20FT Speaker Wire RCA Adapter Plug to Bare Wire for AV Receiver, Speakers Stereo Wire Cord to RCA - Pair",JG-LHIT-0ADH,Amazon,B0C872MDMR,100.0,stripped_name,"['AV Receiver', 'Speakers']",A,B0C872MDMR,"USAV 16AWG 20FT Speaker Wire RCA Adapter Plug to Bare Wire for AV Receiver, Speakers Stereo Wire Cord to RCA - Pair"
188,2,1,USAV 16AWG 20FT Speaker Wire RCA Plug to Bare Wire for AV Receiver Speakers Stereo Wire Cord to RCA,"USAV 16AWG 20FT Speaker Wire RCA Adapter Plug to Bare Wire for AV Receiver, Speakers Stereo Wire Cord to RCA - Pair",XC-07TT-E19A,Amazon,B0C872MDMR,100.0,stripped_name,"['AV Receiver', 'Speakers']",A,B0C872MDMR,"USAV 16AWG 20FT Speaker Wire RCA Adapter Plug to Bare Wire for AV Receiver, Speakers Stereo Wire Cord to RCA - Pair"
264,6,4,DVD Drive Part For Bose Lifestyle 18 28 38 48 AV38 AV48 AV28 AV18,Replacement DVD Drive Part For Bose Lifestyle 18 28 38 48 AV38 AV48 AV28 AV18,00126-1,Ecwid,,0.9,threshold,"['AV18', 'AV28', 'AV38', 'AV48']",P,B0FVW3YCHH,USAV Solutions Replacement DVD Drive IDE for Bose Lifestyle 18 28 38 48 AV38 AV48 AV28 AV18
264,6,3,DVD Drive Part For Bose Lifestyle 18 28 38 48 AV38 AV48 AV28 AV18,Replacement DVD Drive Part For Bose Lifestyle 18 28 38 48 AV38 AV48 AV28 AV18,154103831382,MEKONG_eBay,,0.9,threshold,"['AV38', 'AV48', 'AV28', 'AV18']",P,B0FVW3YCHH,USAV Solutions Replacement DVD Drive IDE for Bose Lifestyle 18 28 38 48 AV38 AV48 AV28 AV18
115,4,2,Bose Control for Bose AV38 AV48 Media Center in Lifestyle 38 48,Bose Remote Control for Bose AV38 AV48 Media Center in Lifestyle 38/48,04702,Ecwid,,0.78,threshold,"['AV38', 'AV48']",A,B011I7Z4BI,New OEM Original RC38T1-27 Remote Control for Bose AV38 AV48 Media Center in Lifestyle 38/48
115,4,3,Bose Lifestyle Series Control RC38T1-27 For for BOSE AV38 AV48 Media Center in Lifestyle 38 48,Bose Lifestyle Series Remote Control RC38T1-27 For for BOSE AV38 AV48 Media Center in Lifestyle 38/48,00078,Ecwid,,0.77,threshold,"['AV38', 'AV48']",A,B011I7Z4BI,New OEM Original RC38T1-27 Remote Control for Bose AV38 AV48 Media Center in Lifestyle 38/48
184,58,15,USAV Bluetooth for Bose Wave Radio CD Player AWRC-1G AWRC-1P,USAV OEM Bluetooth Adapter for Bose Wave Radio CD Player AWRC-1G AWRC-1P,WO-8YFZ-LGXI,Amazon,B0C7FKCYK2,100.0,stripped_name,"['AWRC-1G', 'AWRC-1P']",A,B0C7FKCYK2,USAV OEM Bluetooth Adapter for Bose Wave Radio CD Player AWRC-1G AWRC-1P
184,58,16,USAV Bluetooth for Bose Wave Radio CD Player AWRC-1G AWRC-1P,USAV OEM Bluetooth Adapter for Bose Wave Radio CD Player AWRC-1G AWRC-1P,XQ-FIIT-24XA,Amazon,B0C7FKCYK2,100.0,stripped_name,"['AWRC-1G', 'AWRC-1P']",A,B0C7FKCYK2,USAV OEM Bluetooth Adapter for Bose Wave Radio CD Player AWRC-1G AWRC-1P
184,58,17,USAV Bluetooth for Bose Wave Radio CD player AWRC-1G AWRC-1P,USAV Bluetooth Adapter for  Bose Wave Radio CD player AWRC-1G AWRC-1P,364160363000,USAV_eBay,,100.0,stripped_name,"['AWRC-1G', 'AWRC-1P']",A,B0C7FKCYK2,USAV OEM Bluetooth Adapter for Bose Wave Radio CD Player AWRC-1G AWRC-1P
